Liam — Multi-Event Games Fan;;;;;;;;;;
;;;;;;;;;;
Step;1. Pre-Event Spark;2. Arrival & Queue;3. Dead-Time Trigger;4. Scan & Access;5. Choose Mode;6. Play & Learn;7. Win & Redeem;8. Return & Continue;;
Fan Situation;Liam receives tickets for several Brisbane 2032 sessions and plans his Games day.;Liam arrives at the venue, checks the schedule and messages friends while waiting.;Liam waits before the session starts and looks for something to do.;Liam scans the QR code with his phone.;Liam decides how he wants to play.;Liam plays with friends before the event starts or during a break.;Liam earns points and unlocks a reward path.;After the session, Liam prepares for his next Olympic event.;;
Showdown Medium / Activity;Ticket email / event app teaser: “Collect points across Brisbane 2032 with Showdown.”;Entry screens, concourse signage and seat-back QR codes introduce Showdown.;Stadium screen prompt: “Play for your section. Build your Games score.”;"Fast-loading Showdown PWA; no app download, no password, no friction.";Account Mode highlights points, badges, cross-session progress and bigger prizes.;Olympic trivia, live predictions, athlete comparisons and section leaderboard.;Digital points, badges, leaderboard ranking and sponsor-backed rewards.;Post-session points summary: “Continue your streak at your next venue.”;;
Negative Empathy & Pain Addressed;He wants the Games to feel connected, but different sessions, venues and tickets feel fragmented.;Waiting time feels passive and easily turns into scrolling or logistics-checking.;Dead time has no real purpose and does not add to his Olympic experience.;"He is curious but impatient; slow access or app download would make him drop out.";He wonders whether signing up is worth it.;A generic sponsor game would feel shallow and disconnected from the sport.;If rewards feel meaningless, he will not return.;Without follow-up, engagement would end after one session.;;
Positive Empathy & Gain Created;He feels that his Olympic experience can become one connected journey instead of separate events.;The venue already feels more interactive and connected to his Games day.;Waiting becomes competitive, social and part of the live atmosphere.;He thinks, “That was easy,” and is willing to continue.;Account Mode gives him continuity, status and a reason to keep playing across venues.;He feels involved, competitive and personally part of the Games.;Progression and rewards make the interaction feel worthwhile.;He wants to continue playing and keep building his Olympic journey.;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Sofia — First-Time Olympic Sport Viewer;;;;;;;;;;
;;;;;;;;;;
Step;1. Pre-Event Spark;2. Arrival & Queue;3. Dead-Time Trigger;4. Scan & Access;5. Choose Mode;6. Play & Learn;7. Win & Redeem;8. Return & Continue;;
Fan Situation;Sofia receives her ticket for an Olympic sport she has never watched live before.;Sofia enters the venue, sees crowds, signs and unfamiliar sport terminology.;Sofia waits before the event and watches athletes warm up.;Sofia scans the QR code.;Sofia decides how she wants to play.;Sofia plays a short quiz before the event starts.;Sofia receives feedback and a small reward.;Sofia returns her attention to the live event.;;
Showdown Medium / Activity;Ticket email / event app teaser: “New to this sport? Learn while you play.”;Concourse screens and entry signage introduce Showdown as a sport explainer.;Stadium screen prompt: “Understand this sport in 60 seconds.”;Fast-loading Showdown PWA with language and accessibility options.;Guest Mode appears first, with instant play and no registration.;Rules quiz / scoring explainer: “Why did that athlete receive a penalty?”;Correct-answer explanation plus digital voucher or small sponsor reward.;Short recap: “Now you know how scoring works in this sport.” Optional share badge.;;
Negative Empathy & Pain Addressed;She is excited but unsure whether she will understand the sport.;The venue feels exciting but slightly overwhelming.;Waiting makes her more aware that she does not know what to watch for.;Login, app download or English-only instructions would stop her.;Mandatory sign-up would feel like a barrier.;Too much technical detail would make her feel even more lost.;If the reward or explanation is unclear, the interaction feels weak.;Without understanding, the event would remain exciting but superficial.;;
Positive Empathy & Gain Created;She feels reassured that there will be a simple way to follow the event.;She feels that the experience is designed for newcomers too.;Confusion turns into curiosity.;She feels, “No download, no stress,” and can participate immediately.;She feels safe to try it without commitment.;She understands the basics and knows what to watch for.;She feels rewarded for learning and more confident about the sport.;The event becomes more meaningful, inclusive and memorable.;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Jack — Post-2032 Domestic Sports Fan;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Step;1. Pre-Event Spark;2. Arrival & Queue;3. Dead-Time Trigger;4. Scan & Access;5. Choose Mode;6. Play & Learn;7. Win & Redeem;8. Return & Continue;;
Fan Situation;Jack plans to attend an NRL, AFL or cricket match with friends after work or on the weekend.;Jack arrives with friends, grabs food or drinks and waits for kick-off.;Jack waits during halftime, innings break or pre-game downtime.;Jack scans because his friends are joining too.;Jack chooses how to participate.;Jack competes against friends and other sections.;Jack wins or contributes to his section ranking.;Jack returns to his seat with friends before play resumes.;;
Showdown Medium / Activity;Ticket email / club app teaser: “Halftime Showdown: play with your mates and win stadium rewards.”;Entry screens, concourse signage and seat-back QR codes promote the upcoming challenge.;Stadium screen prompt: “Play for your bay. Beat the other sections.”;"Instant QR access; Guest Mode default; optional team or section selection.";"Guest Mode for instant play; optional account for repeat matchday rewards.";Match-themed quiz, prediction challenge or reaction game with live leaderboard.;Instant voucher: “20% off drinks at Stand C” or merch discount valid until full-time.;End-of-game prompt: “Come back next match to beat your score.”;;
Negative Empathy & Pain Addressed;He is looking forward to the match, but expects breaks and queues to be boring.;Waiting feels like dead time and attention drifts to group chats, scores or scrolling.;Breaks feel passive unless something social or competitive happens.;If it looks like a boring sponsor ad or requires an app download, he will ignore it.;He wants fun now, not a long registration process.;Generic content would feel disconnected from the match.;Delayed or hard-to-redeem rewards would reduce motivation.;Without repeat value, it remains a one-off gimmick.;;
Positive Empathy & Gain Created;He sees that downtime could become part of the matchday fun.;The matchday experience feels more active before the game even starts.;The break becomes a shared competition with his mates and section.;Low friction and group participation make it worth trying.;He can play immediately and still has a reason to return later.;Competition, banter and relevance make the break more entertaining.;Immediate rewards create practical value and drive concession or merch visits.;He sees Showdown as part of future matchdays, not just a single activation.;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Aaliyah — Social Sharer;;;;;;;;;;
;;;;;;;;;;
Step;1. Pre-Event Spark;2. Arrival & Queue;3. Dead-Time Trigger;4. Scan & Access;5. Choose Mode;6. Play & Learn;7. Win & Redeem;8. Return & Continue;;
Fan Situation;Aaliyah sees friends posting about a live sport event and wants a fun, shareable experience.;Aaliyah arrives with friends, takes photos and checks what is happening around the venue.;Aaliyah looks for something worth filming or reacting to during a break.;Aaliyah scans quickly while friends watch or join.;Aaliyah chooses a quick, visible way to play.;Aaliyah plays a quick challenge and watches the leaderboard.;Aaliyah receives a result, badge or reward.;Aaliyah shares the moment and invites friends to scan too.;;
Showdown Medium / Activity;Social teaser / event story: “Get on the screen. Play live. Win rewards.”;Visual Showdown branding on screens, LED ribbons and photo-friendly prompts.;Big-screen prompt: “Winner appears live. Scan now.”;"Instant QR access; no account required; nickname/avatar selection first.";Visual mini-game mode, friend invite option and shareable leaderboard preview.;Countdown, animated game interface, live ranking and sponsor-branded winner moment.;Screenshot-ready badge, digital voucher and optional share button.;Share prompt: “Challenge your friends before the next break.”;;
Negative Empathy & Pain Addressed;Many events do not create enough digital moments beyond photos and short clips.;If nothing interactive happens, her attention shifts to TikTok, Instagram or group chats.;A normal sponsor message is not visually or socially interesting enough.;If the process is slow, private or boring, she will keep scrolling.;She needs the interaction to feel fun, not like a hidden coupon tool.;Private rewards are less exciting than recognition or shareable proof.;If sharing is not easy or visually attractive, the moment disappears.;Without a social loop, the interaction ends with one user.;;
Positive Empathy & Gain Created;She expects a moment that could be fun to capture and share.;Her phone use becomes connected to the event instead of separate from it.;Urgency and public visibility make the moment worth joining.;Fast access and a visible identity make participation feel social.;She sees a clear chance to create a visible moment.;Leaderboard status and possible big-screen appearance create social proof.;She can instantly post the result and show that she participated.;Her participation becomes organic reach for Showdown, the event and the sponsor.;;
